0.00574904179448003 0.0270961382167275 0.00805032633593819 0.0614203061910057 0.0239446394493637 0.0783294215663744 0.0527760735695469 0.107432742192618 0.0481962737506387 0.0364419546349471 0.0265396478281122 0.0521019227319998 0.0330045825268156 0.0580215145380483 0.0487819080774645 0.0441448412819778 0.0344874374433309 0.0144767901476219 0.0355494431614362 0.0362681859162827 0.024239397035707 0.0126838243562533 0.013546922409883 0.116716664843426
0.00080415240144295 0.0115431651388054 0.016533495683417 0.0279013420374064 0.00577715299797892 0.032704780243284 0.0300018766541767 0.0759501855884635 0.0705649082795784 0.0522260135325372 0.0534485843641665 0.0431739810730983 0.0395073475946123 0.0391558192018771 0.0505321384858403 0.0591686314117456 0.0548235844794468 0.0374270715614313 0.0326288823319878 0.0447555769303868 0.0288923885824081 0.0139700158902791 0.024793322802545 0.153715582733085
#-


#==========================================================================================================================
# Fishery Size Composition
#==========================================================================================================================
#! Number of years: nyrs_fish_size
20
#- Fishery size comp years: yrs_fish_size #!
1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1991 1992 1995 1996 1997
#- Number of samples: nsamples_fish_size(1,nyrs_fish_size) #!
27 39 76 100 84 81 86 73 77 83 24 43 42 41 35 29 28 20 26 30
#- Number of hauls: nhauls_fish_size(1,nyrs_fish_size) #!
27 39 76 100 84 81 86 73 77 83 24 43 42 41 35 29 28 20 26 30
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2
#- Observed fishery size compositions (proportions at length): osc_fish(1,nyrs_fish_size,1,nlenbins) #!
0 0 0 0 0 0.000256585699623674 0.0013684570646596 0.00153951419774205 0.00769757098871023 0.0112897707834417 0.0171912418747862 0.0319876838864181 0.0558501539514198 0.0970749230242901 0.133424563804311 0.134707492302429 0.096647280191584 0.0705610673965104 0.0798836811495039 0.069620253164557 0.0595278823126924 0.0491789257612042 0.0341258980499487 0.0241190557646254 0.013684570646596 0.00513171399247349 0.00222374273007184 0.000342114266164899 0.000684228532329798 0.00188162846390694
0 0 0 0 0 0.000575019509590504 0.000657165153817719 0.00172505852877151 0.00308046165852056 0.00390191810079271 0.00998069577360661 0.0247258389123917 0.0504784983776235 0.085267178707849 0.11989156774962 0.124697087936912 0.0979176079188401 0.0822688626935557 0.0940156898180474 0.0932763790200025 0.0687148313960652 0.0525321394833039 0.0400870743828808 0.0244383291575964 0.0137593954080585 0.00538053969688257 0.00143754877397626 0.000492873865363289 0.000287509754795252 0.000410728221136074
0 0 0.000226293103448276 0.000301724137931035 0.00154094827586207 0.00230603448275862 0.0037823275862069 0.00379310344827586 0.00960129310344828 0.0181896551724138 0.0249784482758621 0.0448275862068966 0.0663038793103448 0.0905387931034483 0.12292025862069 0.138405172413793 0.120323275862069 0.0939116379310345 0.0728987068965517 0.0583297413793103 0.0458836206896552 0.0329202586206897 0.0228340517241379 0.0117887931034483 0.00711206896551724 0.00367456896551724 0.00150862068965517 0.000862068965517241 0.000237068965517241 0
0 0 0 7.41239475943691e-05 0.000463274672464807 0.00147012496062165 0.00363207343212408 0.00666497828786035 0.0121007344447807 0.0188892526452984 0.0311876509503308 0.0506884261632827 0.07876287131465 0.110889425601176 0.126789012360168 0.141589093896511 0.122693664255579 0.0896961535848194 0.0684225806252355 0.0481187959800112 0.0342143788104342 0.0232563885577333 0.0151459932917827 0.00736915579000686 0.00402740115262739 0.00224224941472966 0.00105626625321976 0.00030267278601034 0.000172955877720194 8.03009432272331e-05
0 0 2.60041953435154e-05 6.93445209160411e-05 8.66806511450514e-05 0.000364058734809216 0.000875474576565019 0.00215834821351178 0.005062150026871 0.00895411126328381 0.0152817987968726 0.0234471161347364 0.0394396962709984 0.0605551028899329 0.0793994764488671 0.0997867655981832 0.100514883067802 0.0968656276545949 0.0902518939722275 0.0798068755092488 0.0752474732590191 0.0663106981259643 0.0540627221191686 0.0409826118613803 0.0268103253991644 0.016096596917636 0.00901478771908535 0.00451606192465718 0.00225369692977134 0.00175961721824454
0 0 0 0 0 0.000102565058881668 0.000270398791597124 0.00124010480284198 0.00325410959542746 0.00571567100858749 0.00964111553487678 0.0143777564359574 0.0242240020885976 0.0407929211461179 0.0572499510484946 0.0780240375201634 0.0927281373252897 0.0985836697778068 0.109091926265047 0.105138509449972 0.102471817919048 0.0905742710887747 0.0725134966293392 0.0474782981659503 0.0238417141418568 0.0119255191190594 0.00565972643101567 0.00266669153092337 0.00141726263181941 0.00101632649255471
0 0 0 0 1.68723689649645e-05 0.000379628301711702 0.00125699148788986 0.00214279085855049 0.00356850603609 0.00533166859292879 0.010950167458262 0.0206517796131166 0.0369167432953424 0.058968929532551 0.0732176451234636 0.0975813459088723 0.108438715337827 0.112277179277356 0.106152509343074 0.0892042147177674 0.0845727494368847 0.0702818529235597 0.0520512582569156 0.032799885267891 0.0172688696356412 0.00843618448248226 0.00343352708437028 0.00178003492580376 0.00109670398272269 0.00122324674995993
0 0 0 0.000321285140562249 0.000895008605851979 0.00146873207114171 0.002122776821572 0.00426850258175559 0.00838783706253586 0.0116924842226047 0.018714859437751 0.0156626506024096 0.02938611589214 0.0448422260470453 0.0631210556511761 0.0903384968445209 0.0799082042455536 0.0745725760183591 0.0735398737808376 0.0687205966724039 0.0921858864027539 0.0990131956397017 0.0814228341939185 0.0600344234079174 0.0362363740676994 0.0203212851405622 0.0103499713138267 0.00691910499139415 0.00372920252438325 0.00182444061962134
0 0 0 0 0 0.000270259032888445 0.00133050600806619 0.00203733732485136 0.00493742463930814 0.00858592158330215 0.0193027316951478 0.0384807284520394 0.0607147311962081 0.0745395201862708 0.083104652613197 0.0892790320568791 0.0880524718306931 0.0808802128809613 0.0709637852895929 0.0719616647956426 0.0777930231591202 0.0762234418527296 0.0681156708660763 0.0413912103446842 0.0229408340609538 0.0111949607084944 0.00502058126481227 0.0017566837137749 0.000945906615109559 0.000176707829196291
0 0 0 0 0 0 0 0.00247159907966638 0.0104076790336497 0.0235655737704918 0.0330924647684786 0.0360314207650273 0.0425923928674144 0.0546987345412712 0.0729436295657176 0.0844208369283865 0.0916918320391142 0.094621800402646 0.0806909692263446 0.0711820534943917 0.0729166666666667 0.0677397900488927 0.058491515674432 0.0419003451251079 0.0281942047742307 0.0169596635030198 0.00855622663215416 0.00427811331607708 0.00185145240149554 0.000701035375323555
0 0.000105407399599452 0.000316222198798356 0.000421629598397808 0.000737851797196163 0.00147570359439233 0.00189733319279013 0.00326762938758301 0.00822177716875725 0.018657109729103 0.0327817012754295 0.053652366396121 0.0727311057236218 0.0777906609043955 0.0862232528723516 0.0989775482238853 0.103088436808264 0.0981342890270897 0.0840096974807631 0.067882365342047 0.054811847791715 0.0463792558237588 0.0368925898598082 0.0238220723094761 0.0132813323495309 0.00674607357436492 0.00421629598397808 0.00252977759038685 0.000843259196795615 0.000105407399599452
0 0 0 0 6.82640453273261e-05 0.000102396067990989 0.00034132022663663 0.000887432589255239 0.0015700730425285 0.00218444945047444 0.00426650283295788 0.0100689466857806 0.0178851798757594 0.0245750563178374 0.0322888934398252 0.0387739777459212 0.0482968120690832 0.0691514779165813 0.0944433067103557 0.12280701754386 0.142330534507475 0.139873028875691 0.115332104580517 0.0729742644549116 0.0358386237968462 0.0148132978360298 0.00477848317291283 0.00167246911051949 0.000750904498600587 0.00392518260632125
0 0 0 0 6.87308842228255e-05 0.000309288979002715 0.000412385305336953 0.000687308842228255 0.00175263754768205 0.0032303515584728 0.00573902883260593 0.0114780576652119 0.0193821093508368 0.0287638750472525 0.044709440186948 0.0635417024640022 0.0790061514141379 0.0956733908381731 0.10801058455617 0.114677480325784 0.117357984810475 0.107460737482388 0.0853637582047493 0.0559125743152686 0.0302415890580432 0.0136774459603423 0.00494862366404344 0.00247431183202172 0.00154644489501357 0.00357400597958693
0 3.63068656282903e-05 7.26137312565806e-05 0.000145227462513161 0.000254148059398032 0.000689830446937516 0.00203318447518426 0.00501034745670406 0.00962131939149693 0.0148132011763424 0.0210942889300367 0.0302799259339941 0.0423701121882148 0.0563119485894783 0.0775877718476564 0.0952692154086338 0.100424790327851 0.102639509131177 0.0988999019714628 0.0911302327270087 0.0831064154231565 0.0676033837998766 0.0465090948698399 0.0277021384743855 0.0149221217732273 0.00715245252877319 0.00286824238463493 0.00105289910322042 0.000217841193769742 0.000181534328141452
0.000103140632252076 0.000103140632252076 0.000103140632252076 0.000154710948378114 0.000464132845134341 0.00072198442576453 0.00103140632252076 0.00288793770305812 0.00515703161260378 0.00691042236088907 0.0102109225929555 0.0161930792635759 0.0249600330050023 0.0324892991594039 0.0458975813521737 0.0673508328606054 0.0881852405755247 0.104481460471353 0.109896343664587 0.111649734412872 0.108761796709814 0.0941673972461451 0.0717858800474447 0.0469805579908205 0.0270228456500438 0.0127894383992574 0.00515703161260378 0.00257851580630189 0.00118611727089887 0.000618843793512454
0.00221027038974435 0.00228394606940249 0.00125248655418846 0.00412583806085611 0.00869373019966109 0.010682973550431 0.0109776762690636 0.0170927576806896 0.0186399469535106 0.0185662712738525 0.0249760554041111 0.0195240551094084 0.0150298386502615 0.0159876224858174 0.0137773520960731 0.0214396227805202 0.0325646504089 0.0479628674574523 0.0772121122817358 0.0959257349149046 0.110366168127901 0.09968319457747 0.0914315184557578 0.0842113018492596 0.0605614086789951 0.0420688130848007 0.0276283798718043 0.0124511898622265 0.00567302733367715 0.00699918956752376
0.00430719219829338 0.00235676554246241 0.00195042665583096 0.00268183665176757 0.00211296221048354 0.00406338886631451 0.00503860219422999 0.00528240552620886 0.00666395774075579 0.00861438439658675 0.00942706216984966 0.0108898821617229 0.0108898821617229 0.015684681023974 0.0229987809833401 0.0362454286875254 0.0566436407964242 0.102559934985778 0.144412840308818 0.152214546932141 0.129215765948801 0.0969524583502641 0.0655830963023161 0.0395774075579033 0.0260056887444128 0.0152783421373425 0.0104022754977651 0.00536367330353515 0.00341324664770419 0.00316944331572531
0.000151975683890578 0 0 0 0.000151975683890578 0 0.000151975683890578 0.0013677811550152 0.00319148936170213 0.00547112462006079 0.00987841945288754 0.00759878419452888 0.00699088145896657 0.0101823708206687 0.0103343465045593 0.0200607902735562 0.0387537993920973 0.081306990881459 0.128267477203647 0.148632218844985 0.150303951367781 0.124012158054711 0.09209726443769 0.0559270516717325 0.0349544072948328 0.0212765957446809 0.0156534954407295 0.00896656534954407 0.00577507598784195 0.0185410334346505
8.97666068222621e-05 0 0 0 0 0.000179533213644524 8.97666068222621e-05 0.000359066427289048 0.000538599640933573 0.00161579892280072 0.00242369838420108 0.00341113105924596 0.00377019748653501 0.00610412926391382 0.009245960502693 0.0176840215439856 0.0293536804308797 0.066427289048474 0.124955116696589 0.170556552962298 0.178276481149013 0.151526032315978 0.0985637342908438 0.0557450628366248 0.0327648114901257 0.0192100538599641 0.012657091561939 0.00673249551166966 0.00341113105924596 0.00430879712746858
0.00233244151745901 0.00240104273856075 0.00473348425601976 0.00171503052754339 0.00171503052754339 0.00185223296974686 0.00205803663305207 0.00253824518076422 0.00233244151745901 0.00356726349729025 0.00548809768813885 0.00823214653220827 0.00864375385881869 0.0112506002606846 0.015572477190094 0.0177677162653495 0.0236674212800988 0.0439733827262125 0.073677711463264 0.120257940591343 0.148727447348563 0.151128490087124 0.119160321053715 0.0807436372367428 0.0568018110722371 0.0365644508472251 0.0230500102901832 0.0145434588735679 0.00775193798449612 0.00775193798449612
#-


#==========================================================================================================================
# Trawl Survey Size Composition, NOT USED IN MODEL
#==========================================================================================================================
#! Number of years: nyrs_srv1_size
16
#- Trawl Survey size comp years: yrs_srv1_size #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017 2019
#- Number of samples: nsamples_srv1_size(1,nyrs_srv1_size) #!
24063 18086 14195 17357 21564 12124 8801 17967 26375 20985 24094 19422 19593 25013 20710 26275
#- Number of hauls: nhauls_srv1_size(1,nyrs_srv1_size) #!
231 153 169 219 315 309 179 313 378 315 387 302 242 348 281 306
#- Index for size-age error matrix #!
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
#- Observed trawl survey size compositions (proportions at length): osc_srv1(1,nyrs_srv1_size,1,nlenbins) #!
0.00104257798240769 0.00113581104977745 0.00163585690073461 0.00231131627742347 0.00275623418508147 0.0037346474189205 0.0081569133711217 0.0167757546022976 0.0250625243346648 0.0246045465921489 0.0176863531961184 0.0128069479899775 0.0146567717351754 0.0226758491645088 0.032859829041229 0.0467582103761319 0.0824134209399351 0.128116542483649 0.145322529648924 0.140814431202439 0.0924196712610966 0.0567524151977208 0.04100883788833 0.0287377226990811 0.0218240091051882 0.0125334463121276 0.00793982846428021 0.00435999262799128 0.00163410486705991 0.00146290308445807
0.00528834885654561 0.00711474387257914 0.0142899374041614 0.027069364099434 0.0284204275738044 0.0213830769390943 0.0207610908198749 0.0226699285831762 0.0246082391665861 0.0275203997896065 0.0284337980458934 0.0302107048957709 0.0315560029647949 0.0369882086690364 0.0403888333819332 0.0357670218903413 0.0502972496630886 0.0750655075063591 0.0729505235749623 0.0721308354609163 0.0861571213459415 0.064845313229236 0.0494539327341321 0.0371393455624662 0.0230540800480987 0.018406381589097 0.014167400235189 0.0152458475586762 0.0102036904325633 0.00841264410664121
0.000687054999134757 0.00199536289744812 0.00477708243505141 0.0135833696519004 0.0120205769598347 0.0143564605376332 0.0203325041555869 0.0292469347217697 0.0512996171693514 0.0655592370613106 0.0696935496456527 0.0502696475255215 0.0471805972292435 0.047738582438719 0.0366865970688671 0.0338420056436656 0.0329700982936863 0.0403408144676548 0.0473858493482579 0.0553454615993213 0.0465860833158196 0.0548369452690659 0.0455113241950756 0.0455453121048662 0.0482450208079231 0.04225626045137 0.022168815253922 0.00815743988865653 0.00437263652279118 0.00700875834089895
0.00211800292950825 0.00117744061533353 0.00177664567459607 0.00433510452725829 0.00698584123847972 0.0084511433887799 0.00686293056115714 0.00418867693150868 0.00503709869461205 0.00819412786051831 0.016491102642807 0.0234007273854534 0.0276574221104275 0.0303433553077065 0.0440701932403073 0.065154415633502 0.0892779922665942 0.0964202568450502 0.0962384520954958 0.100907677532165 0.0893210827287527 0.0732033456434033 0.0554755072306322 0.0442211796855446 0.0317220248643216 0.0205351935851358 0.0194071884832424 0.0143876241957218 0.00804496495507612 0.00459328114690854
